DATE,AQI,PM2.5 AVG,PM2.5 MIN,PM2.5 MAX,PM10 AVG,PM10 MIN,PM10 MAX,NO2 AVG,NO2 MIN,NO2 MAX,NH3 AVG,NH3 MIN,NH3 MAX,SO2 AVG,SO2 MIN,SO2 MAX,CO AVG,CO MIN,CO MAX,OZONE AVG,OZONE MIN,OZONE MAX,PROMINENT POLLUTENT,MAX TEMP,MIN TEMP,HUMIDITY
3/25/2017,75,75,45,210,74,50,110,28,40,180,3,2,3,2,1,4,34,1,49,38,21,70,PM2.5,36,18,32
3/26/2017,82,82,47,153,75,65,86,29,26,31,3,2,3,3,1,3,32,7,55,30,8,70,PM2.5,38,19,23
3/27/2017,72,72,63,150,71,45,98,38,34,40,3,3,3,7,2,15,40,10,68,26,18,53,PM2.5,40,20,14
3/28/2017,80,78,63,88,80,73,87,39,37,40,3,3,3,6,5,7,25,12,48,21,4,71,PM10,40,21,36
3/29/2017,73,64,53,75,73,63,86,38,36,41,3,2,4,5,1,8,35,20,54,32,6,56,PM10,40,23,31
3/30/2017,75,75,49,120,74,60,109,39,36,41,3,3,3,6,2,8,35,17,64,29,8,44,PM2.5,40,23,31
3/31/2017,78,78,49,146,72,60,112,40,30,46,3,3,4,5,2,8,42,17,72,14,9,51,PM2.5,41,23,30
4/1/2017,52,38,19,61,35,24,54,20,10,24,3,2,3,4,1,7,40,20,65,44,15,66,CO,40,24,16
4/2/2017,59,53,11,191,59,22,104,18,8,20,2,1,2,6,2,10,30,18,45,40,7,77,PM10,40,21,14
4/3/2017,70,62,32,114,70,41,122,10,7,18,2,1,2,9,1,16,28,11,46,47,18,68,PM10,39,22,14
4/4/2017,70,70,49,100,63,42,100,12,6,24,2,1,2,9,1,18,32,9,40,50,6,87,PM2.5,39,23,23
4/5/2017,88,88,79,99,85,76,95,6,5,9,1,1,1,6,3,12,29,12,41,40,8,60,PM2.5,36,20,51
4/6/2017,75,75,56,139,69,43,110,6,4,11,1,1,1,5,2,7,30,16,48,39,6,62,PM2.5,36,21,40
4/7/2017,86,86,64,112,82,61,101,9,4,12,1,1,1,5,1,9,29,12,56,40,14,75,PM2.5,33,20,29
4/8/2017,88,88,63,173,81,61,121,7,6,9,1,1,1,5,1,13,46,30,57,31,6,65,PM2.5,33,17,20
